lema,nilai,nilai1
denudasi,(Geo) pengikisan lapisan atas permukaan tanah yang disebabkan oleh hujan angin dan salju sehingga kesuburan tanah menjadi hilang,(Hut) reduksi permukaan tanah karena fenomena alam
depak,tiruan bunyi kuda berjalan atau bunyi buku jatuh di lantai,tiruan bunyi kuda berjalan atau bunyi buku jatuh di lantai
departemen,lembaga tinggi pemerintahan yang mengurus suatu bidang pekerjaan negara yang dipimpin seorang menteri,(Dik) bagian dari fakultas biasanya dipimpin oleh ketua jurusan (departemen) yang menggarap sekelompok disiplin ilmu yang tercakup dalam suatu bidang studi tertentu
dependensi,keadaan bergantung kepada orang lain karena belum dapat hidup sendiri (tentang orang),ketergantungan
depigmentasi,hilangnya pigmen,penghilangan pigmen
depilasi,(Dok) proses membuang rambut,(Tek) pembuangan rambut dari kulit binatang dalam proses penyamakan
deplesi,(Ek) kerugian akibat hilangnya atau berkurangnya nilai barang modal,kehabisan penipisan
deposito,(Ek) uang yang disimpan dalam rekening,tindakan menyimpan uang di bank
depot,tempat menyimpan barang (dagangan dsb),rumah kecil tempat berjualan es rokok obat dsb
depresi,(Ek) keadaan perniagaan yang sukar dan lesu,(Psi) gangguan jiwa pada seseorang yang ditandai dengan perasaan yang merosot (seperti muram sedih perasaan tertekan)
depresi tropis,(Geo) depresi yang berasal dari daerah tropis,gangguan tropis yang kecepatan anginnya lebih rendah dari 3knot
deputi,orang yang diangkat sebagai wakil atau pengganti dengan kuasa jabatan untuk bertindak,orang kedua dalam organisasi yang mengambil alih pimpinan jika atasannya tidak di tempat
derai,tiruan bunyi titik-titik air hujan yang jatuh di kaca dsb,(Mk) butir-butir (tanah emas dsb)
derajat,tingkatan,martabat
derang,tiruan bunyi genderang,(Mk) → berderang
derap,tiruan bunyi kaki orang berjalan cepat,gerak lari cepat (tentang kuda dsb)
derap langkah,bunyi langkah orang berbaris kuda berjalan atau berlari dsb,(ki) kecepatan langkah
derau,tiruan bunyi gemuruh hujan dibawa angin,(Fis) bunyi yang gelombangnya tidak teratur
derek,deret,leret
deret,susunan (dalam bentuk garis lurus) teratur yang sama arah jarak tinggi dan tingkatan,(Stat) kumpulan zat bilangan atau kuantitas lain pada kumpulan yang sama yang disusun secara beraturan
dering,tiruan bunyi giring-giring,pohon Cryptocarya griffithiana
dermaga,tembok rendah yang memanjang di tepi pantai menjorok ke laut di kawasan pelabuhan (untuk pangkalan dan bongkar muat barang),kade
dermis,(Anat) lapisan atau jaringan kulit di bawah epidermis,pembuluh darah yang sensitif di bawah lapisan mesodermik di dalam kulit
dersana,(Jw) pohon jambu yang berbatang tegak warnanya cokelat kotor kasar tingginya antara 101m,Syzygium samarangense
desa,kesatuan wilayah yang dihuni oleh sejumlah keluarga yang mempunyai sistem pemerintahan sendiri (dikepalai oleh seorang kepala desa),kelompok rumah di luar kota yang merupakan kesatuan
desain,kerangka bentuk,rancangan
desain bangunan,kerangka bentuk suatu bangunan (rumah taman dsb),motif bangunan
desakan,dorongan (tolakan) yang keras,tekanan yang keras
desas-desus,suara orang berbisik-bisik,percakapan orang banyak (yang belum tentu benar dan tidak diketahui sumbernya)
desensitisasi,(Dok) usaha mengurangkan atau menghilangkan alergi terhadap suatu zat,usaha menghilangkan suatu kompleks emosi
desentralisasi,sistem pemerintahan yang lebih banyak memberikan kekuasaan kepada pemerintah daerah,penyerahan sebagian wewenang pimpinan kepada bawahan (atau pusat kepada cabang dsb)
desersi,(perbuatan) lari meninggalkan dinas ketentaraan,pembelotan kepada musuh
desibel,satuan ukuran untuk mengukur kerasnya suara,satuan ukuran untuk mengukur ketajaman pendengaran
deskripsi struktur,(Ling) penggambaran konstituen ujaran dan hubungannya dari sudut semantik sintaksis dan fonologi kaidahnya terletak di sebelah kiri kaidah transformasi,masukan yang memungkinkan terjadinya suatu transformasi
despotisme,pemerintahan seorang despot,sistem pemerintahan dengan kekuasaan tidak terbatas dan sewenang-wenang
detektor,alat untuk mencatat yang bekerja secara otomatis (misal mencatat perubahan suhu atau tekanan udara setempat),alat yang bekerja dengan getaran magnet untuk mengetahui atau menemukan adanya benda logam (bom) gelombang radio dsb
determinasi,hal menentukan (menetapkan memastikan),ketetapan hati (dalam mencapai maksud atau tujuan)
detik,tiruan bunyi arloji dsb,ukuran satuan waktu 1/60 menit
detritus,sampah termasuk bangkai yang meluruh,(Geo) pecahan bahan yang lepas dari permukaan batuan karena meluruh
deuterium,(Fis) isotop hidrogen yang berat jenisnya dua kali hidrogen biasa,hidrogen berat
dewa,(kl) roh yang dianggap atau dipercayai sebagai manusia halus yang berkuasa atas alam dan manusia,(ki) orang atau sesuatu yang sangat dipuja
dewadaru,pohon yang daunnya biasa dipakai untuk lalap,daru-daru
dewan,majelis atau badan yang terdiri atas beberapa orang anggota yang pekerjaannya memberi nasihat memutuskan suatu hal dsb dengan jalan berunding,mahkamah (tinggi)
dewan moneter,(Ek) dewan yang bertugas mengawasi dan memberi nasihat mengenai keuangan negara atau organisasi keuangan negara,badan internasional di bidang keuangan yang bertugas mengatur keseimbangan nilai uang di dunia
dewata,(kl) dewa,sifat dewa
dewi,(kl) dewa perempuan,(ki) perempuan yang cantik
dewi fortuna,dewa perempuan yang memberi keberuntungan,keberuntungan
diad,pasangan,unsur kimia bervalensi dua
diafragma,sekat antara rongga dada dan rongga perut (pada tubuh),dinding tipis berlubang kecil bundar untuk mengatur masuknya cahaya (pada teropong atau kamera)
diagnosis,penentuan jenis penyakit dengan cara meneliti (memeriksa) gejala-gejalanya,(Sos) pemeriksaan terhadap suatu hal
diagram balok,diagram yang dinyatakan dalam tiga dimensi lebar tinggi dan dalam,(Geo) gambar sketsa untuk menjelaskan sesuatu dengan melukiskan bagiannya cara kerjanya dsb
dialektika,hal berbahasa dan bernalar dengan dialog sebagai cara untuk menyelidiki suatu masalah,ajaran Hegel yang menyatakan bahwa segala sesuatu yang terdapat di alam semesta itu terjadi dari hasil pertentangan antara dua hal dan yang menimbulkan hal lain lagi
dialog,percakapan (dalam sandiwara cerita dsb),karya tulis yang disajikan dalam bentuk percakapan antara dua tokoh atau lebih
diapositif,(Graf) gambar fotografi positif di atas alas bening digunakan sebagai bias yang diproyeksikan,transparansi kecil yang dicetak dari negatif hasil pemotretan udara untuk keperluan kontur peta relief
diasistem,(Ling) jaringan hubungan formal yang memperlihatkan sistem bahasa bersama yang dianggap mendasari dua dialek atau lebih dirumuskan sebagai kerangka untuk menjelaskan perbedaan struktural,fenomena dua sistem atau lebih yang bekerja secara berdampingan yang mungkin mempengaruhi perkembangan sistem itu misal sistem fonem yang berbeda dari dialek yang berdekatan dalam satu bahasa
didikan,hasil mendidik,anak atau hewan yang dididik
didong,(cak) orang Prancis,orang asing berkulit putih (orang Eropa)
diferensiasi,proses cara perbuatan membedakan,pembedaan
difusi,(Fis) percampuran gas atau zat cair di luar daya mekanik,penyebaran atau perembesan sesuatu (kebudayaan teknologi ide) dari satu pihak ke pihak lainnya
digit,letak angka pada bilangan,angka Arab dari 09
digresi,(Sas) peristiwa yang menyimpang dari pokok masalah yang sedang dihadapi dalam karya sastra,bagian yang tidak langsung bertalian dengan tema dan alur karya sastra
diktat,catatan pelajaran yang dibuat oleh siswa pada waktu mengikuti pelajaran,buku pelajaran yang disusun oleh guru berupa stensilan (bukan cetakan)
diktum,ucapan (pernyataan) resmi,keputusan
dila,(ark) suluh dari buah jarak dsb,lampu minyak (yang kecil)
dim,ukuran panjang 1/1kaki,25ml
dinamika,(Fis) bagian ilmu fisika yang berhubungan dengan benda yang bergerak dan tenaga yang menggerakkan,gerak (dari dalam)
dinamometer,alat pengukur tenaga mesin terutama daya atau kecepatan putarannya,(Tan) pengukur jejak alat pengolah tanah
dinar,(kl) mata uang emas lama,satuan mata uang Aljazair Bahrain seperti Irak Kuwait Tunisia Yaman Selatan Yordania (lihat lampiran)
dinas,bagian kantor pemerintah yang mengurus pekerjaan tertentu,jawatan
dinding,penutup sisi samping (penyekat) ruang rumah bilik dsb (dibuat) dari papan anyaman bambu tembok dsb,(Huk) → mendinding
diorama,sajian pemandangan dalam ukuran kecil yang dilengkapi dengan patung dan perincian lingkungan seperti aslinya serta dipadukan dengan latar yang berwarna alami,pola atau corak tiga dimensi suatu adegan atau pemandangan yang dihasilkan dengan menempatkan objek dan tokoh di depan latar belakang dengan perspektif yang sebenarnya sehingga dapat menggambarkan keadaan yang sebenarnya
dipan,bangku panjang rendah (untuk duduk-duduk atau berbaring),tempat tidur terbuat dari papan yang tidak berkelambu
diplomasi,urusan atau penyelenggaraan perhubungan resmi antara satu negara dan negara yang lain,urusan kepentingan sebuah negara dengan perantaraan wakil-wakilnya di negeri lain
direktur,pemimpin tertinggi dalam suatu perusahaan,kepala sekolah menengah
dirham,(kl) mata uang emas atau perak,satuan mata uang Maroko dan Uni Emirat Arab
diri,orang seorang (terpisah dari yang lain),badan
disiden,orang yang tidak sepakat dengan pendapat seseorang atau kelompok,orang yang tidak mau menurut pemerintahnya karena menganggap pemerintah itu tidak sah (keliru dsb)
disimilasi,tindakan atau hal membuat berbeda,(Kim) proses yang mengakibatkan penguraian senyawa atau zat organik
disintegrasi,keadaan tidak bersatu padu,keadaan terpecah belah
disiplin,tata tertib (di sekolah kemiliteran dsb),ketaatan (kepatuhan) kepada peraturan (tata tertib dsb)
disiplin ilmiah,cara pendekatan yang mengikuti ketentuan yang pasti dan konsisten untuk memperoleh pengertian dasar yang menjadi sasaran studi,cabang ilmu
disjungtif,(Ling) konjungsi seperti atau dan tetapi,konstruksi yang mengandung disjungsi
disko,gaya (irama) dalam musik pop yang lincah dan digemari oleh remaja (bersifat kontemporer),(kp) diskotek
diskotek,gedung tempat menyimpan koleksi piringan hitam,lembaga yang menyimpan koleksi piringan hitam untuk tujuan ilmiah
diskualifikasi,(Olr) larangan turut bertanding bagi seseorang atau sebuah regu karena melanggar peraturan pertandingan,pernyataan tidak cakap atau tidak mampu
diskus,(Olr) cakram,ikan hias air tawar yang bentuknya seperti cakram berasal dari Brazil famili Cicheidal banyak macamnya
dislokasi,perubahan atau pemindahan lokasi,(Dok) perenggangan persendian pada patah tulang
disorder,keadaan yang tidak sesuai dengan tatanan (aturan keadaan) yang umum,(Dok) keadaan dan perasaan badan yang kurang enak disebabkan oleh gangguan penyakit atau karena tidak berfungsinya salah satu organ tubuh
disorientasi,kekacauan kiblat,kesamaran arah
dispensasi,pengecualian dari aturan karena adanya pertimbangan yang khusus,pembebasan dari suatu kewajiban atau larangan
dispenser,mesin penjual,mesin penyaji
dispersi,pergerakan untuk perpindahan individual terutama untuk mendiami lingkungan baru,(Fis) penguraian atau pembiasan warna
disposisi,(Adm) pendapat seorang pejabat mengenai urusan yang termuat dalam suatu surat dinas yang langsung dituliskan pada surat yang bersangkutan atau pada lembar khusus,(Dok) kecenderungan untuk mendapatkan suatu penyakit kelainan temperamen atau kelainan watak
disprosium,(Kim) logam tanah langka,unsur dengan nomor atom 6berlambang Dy dan bobot atom 16250
distorsi,pemutarbalikan suatu fakta aturan dsb,penyimpangan
distribusi,penyaluran (pembagian pengiriman) kepada beberapa orang atau ke beberapa tempat,pembagian barang keperluan sehari-hari (terutama dalam masa darurat) oleh pemerintah kepada pegawai negeri penduduk dsb
distrik,bagian kota atau negara yang dibagi untuk tujuan tertentu,wilayah
divergensi,penyebaran,(Ling) proses terpecah belahnya suatu bahasa menjadi beberapa dialek karena tiadanya fasilitas pendidikan yang standar dan kurang cukupnya komunikasi
diversifikasi,penganekaragaman,(Ek) penganekaan usaha untuk menghindari ketergantungan pada ketunggalan kegiatan produk jasa atau investasi
divestasi,pelepasan,pembebasan
dividen,(Dag) bagian laba atau pendapatan perusahaan yang besarnya ditetapkan oleh direksi serta disahkan oleh rapat pemegang saham untuk dibagikan kepada para pemegang saham,sejumlah uang yang berasal dari hasil keuntungan yang dibayarkan kepada pemegang saham sebuah perseroan
divisi,satuan militer yang besar (jumlahnya sampai puluhan ribu) yang biasanya lengkap dengan peralatannya dipimpin oleh perwira tinggi (biasanya mayor jenderal),kelompok dalam suatu organisasi (sepak bola dsb)
dodol,penganan dibuat dari tepung ketan santan kelapa dan gula merah kadang-kadang dicampur dengan buah-buahan seperti durian sirsak dibungkus daun (jagung) kertas dsb,bahan peledak berbentuk tabung dodol yang digunakan pada pekerjaan peledakan di tambang
dodong,(ark) golok pendek,beladau
dogma,pokok ajaran (tentang kepercayaan dsb) yang harus diterima sebagai hal yang benar dan baik tidak boleh dibantah dan diragukan,keyakinan tertentu
doi,(kl) uang,(cak) pacar
dok,galangan kapal (untuk menggalang kapal yang akan diperbaiki dsb),limbung
doktrin,ajaran (tentang asas suatu aliran politik keagamaan,pendirian segolongan ahli ilmu pengetahuan keagamaan ketatanegaraan) secara bersistem khususnya dalam penyusunan kebijakan negara
dokumen,surat yang tertulis atau tercetak yang dapat dipakai sebagai bukti keterangan (seperti akta kelahiran surat nikah surat perjanjian),barang cetakan atau naskah karangan yang dikirim melalui pos
dokumentasi,pengumpulan pemilihan pengolahan dan penyimpanan informasi dalam bidang pengetahuan,pemberian atau pengumpulan bukti dan keterangan (seperti gambar kutipan guntingan koran dan bahan referensi lain)
dol,gendang,tiang kapal
dolok,(Bt) gunung,(cak) potongan batang kayu yang belum dibelah
dom,pedoman,(Kat) gereja utama
domba,kambing yang berbulu tebal (bulunya dipakai bahan membuat wol),kambing kibas
dominasi,penguasaan oleh pihak yang lebih kuat terhadap yang lebih lemah (dalam bidang politik militer ekonomi perdagangan olahraga dsb),(Ling) hal tergantungnya suatu konstituen sintaktis pada simpai di atasnya
domplengan,yang didomplengkan pada sesuatu (seseorang) yang sudah lebih dulu ada,tempat mendompleng
donasi,sumbangan tetap (berupa uang) dari penderma kepada perkumpulan,derma
dondon,warna atau corak (kain dsb),v (Bt) → mendondon
dongan,kawan,sahabat
dongeng,cerita yang tidak benar-benar terjadi (terutama tentang kejadian zaman dulu yang aneh-aneh),(ki) perkataan (berita dsb) yang bukan-bukan atau tidak benar
dongkelan,(Huk) menjual tanah dengan hak untuk membelinya kembali,kebun tebu yang sudah selesai dipanen
donor,penderma,pemberi sumbangan
dop,penutup pangkal poros roda (mobil dsb),bohlam
dorang,ikan bawal,pron mereka (di daerah Indonesia bagian timur)
dorongan,tolakan,sorongan
dorsum,(Anat) punggung (bagian belakang manusia dan bagian atas hewan),bagian belakang lidah sesudah daun lidah
dosa,perbuatan yang melanggar hukum Tuhan atau agama,perbuatan salah (seperti thd orang tua adat negara)
dosis,(Dok) takaran obat untuk sekali pakai (dimakan diminum disuntikkan dsb) dalam jangka waktu tertentu,ukuran pengobatan yang harus diberikan untuk jangka waktu tertentu (tentang radiasi atau penyinaran pada daerah atau bagian tubuh tertentu)
dragon,(Olr) jenis nomor dalam pertandingan mendayung,naga
drainase,pengatusan,penyaluran air
drama,(Sas) komposisi syair atau prosa yang diharapkan dapat menggambarkan kehidupan dan watak melalui tingkah laku (akting) atau dialog yang dipentaskan,cerita atau kisah terutama yang melibatkan konflik atau emosi yang khusus disusun untuk pertunjukan teater
drama duka,(Sas) drama yang khusus menggambarkan kejatuhan atau keruntuhan tokoh utama,drama yang melukiskan tikaian di antara tokoh utama dan kekuatan yang luar biasa yang berakhir dengan malapetaka atau kesedihan
dramatisasi,penyesuaian cerita untuk pertunjukan sandiwara,pendramaan
dramaturg,ahli seni drama,pengarang naskah drama
draperi,bahan yang dilipit secara dekoratif dan bergantung lepas sebagai hiasan (misal pada dinding pintu jendela),model busana wanita
dril,bahan tenun (katun) yang tebal dan tahan lama,latihan yang diulang-ulang dalam waktu singkat
drip,alat berupa sebatang besi baja yang berujung runcing dipakai untuk membenamkan paku supaya berada di bawah permukaan atau untuk menandai ukuran atau tempat mengerjakan pekerjaan pada lembar pelat besi (baja),(Jk ark) babak (dalam sandiwara rakyat)
drum,tong besi (untuk tempat minyak dsb),genderang
duaja,(Skt) bendera panji-panji,pataka
